2025-10-18 19:37:22 | INFO | aiogram | Bot: Noto [@notonoto_bot]
2025-10-18 22:40:18 | DEBUG | aiosqlite | executing functools.partial(<built-in method create_function of sqlite3.Connection object at 0x7040cf4713f0>, 'regexp', 2, <function SQLiteDialect_pysqlite.on_connect.<locals>.regexp at 0x7040cf4691c0>, deterministic=True)
2025-10-18 22:40:18 | DEBUG | aiosqlite | operation functools.partial(<built-in method create_function of sqlite3.Connection object at 0x7040cf4713f0>, 'regexp', 2, <function SQLiteDialect_pysqlite.on_connect.<locals>.regexp at 0x7040cf4691c0>, deterministic=True) completed
2025-10-18 22:40:18 | DEBUG | aiosqlite | executing functools.partial(<built-in method create_function of sqlite3.Connection object at 0x7040cf4713f0>, 'floor', 1, <built-in function floor>, deterministic=True)
2025-10-18 22:40:18 | DEBUG | aiosqlite | operation functools.partial(<built-in method create_function of sqlite3.Connection object at 0x7040cf4713f0>, 'floor', 1, <built-in function floor>, deterministic=True) completed
2025-10-18 22:40:18 | DEBUG | aiosqlite | executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x7040cf4713f0>)
2025-10-18 22:40:18 | DEBUG | aiosqlite | operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x7040cf4713f0>) completed
2025-10-18 22:40:18 | DEBUG | aiosqlite | executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x7040cf46cb40>, 'PRAGMA read_uncommitted', [])
2025-10-18 22:40:18 | DEBUG | aiosqlite | operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x7040cf46cb40>, 'PRAGMA read_uncommitted', []) completed
2025-10-18 22:40:18 | DEBUG | aiosqlite | executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x7040cf46cb40>)
2025-10-18 22:40:18 | DEBUG | aiosqlite | operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x7040cf46cb40>) completed
2025-10-18 22:40:18 | DEBUG | aiosqlite | executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x7040cf46cb40>)
2025-10-18 22:40:18 | DEBUG | aiosqlite | operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x7040cf46cb40>) completed
2025-10-18 22:40:18 | DEBUG | aiosqlite | executing functools.partial(<built-in method rollback of sqlite3.Connection object at 0x7040cf4713f0>)
2025-10-18 22:40:18 | DEBUG | aiosqlite | operation functools.partial(<built-in method rollback of sqlite3.Connection object at 0x7040cf4713f0>) completed
2025-10-18 22:40:18 | DEBUG | aiosqlite | executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x7040cf4713f0>)
2025-10-18 22:40:18 | DEBUG | aiosqlite | operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x7040cf4713f0>) completed
2025-10-18 22:40:18 | DEBUG | aiosqlite | executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x7040cf46cbc0>, 'PRAGMA main.table_info("users")', ())
2025-10-18 22:40:18 | DEBUG | aiosqlite | operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x7040cf46cbc0>, 'PRAGMA main.table_info("users")', ()) completed
2025-10-18 22:40:18 | DEBUG | aiosqlite | executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x7040cf46cbc0>)
2025-10-18 22:40:18 | DEBUG | aiosqlite | operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x7040cf46cbc0>) completed
2025-10-18 22:40:18 | DEBUG | aiosqlite | executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x7040cf46cbc0>)
2025-10-18 22:40:18 | DEBUG | aiosqlite | operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x7040cf46cbc0>) completed
2025-10-18 22:40:18 | DEBUG | aiosqlite | executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x7040cf4713f0>)
2025-10-18 22:40:18 | DEBUG | aiosqlite | operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x7040cf4713f0>) completed
2025-10-18 22:40:18 | DEBUG | aiosqlite | executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x7040cf46cbc0>, 'PRAGMA main.table_info("notes")', ())
2025-10-18 22:40:18 | DEBUG | aiosqlite | operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x7040cf46cbc0>, 'PRAGMA main.table_info("notes")', ()) completed
2025-10-18 22:40:18 | DEBUG | aiosqlite | executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x7040cf46cbc0>)
2025-10-18 22:40:18 | DEBUG | aiosqlite | operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x7040cf46cbc0>) completed
2025-10-18 22:40:18 | DEBUG | aiosqlite | executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x7040cf46cbc0>)
2025-10-18 22:40:18 | DEBUG | aiosqlite | operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x7040cf46cbc0>) completed
2025-10-18 22:40:18 | DEBUG | aiosqlite | executing functools.partial(<built-in method commit of sqlite3.Connection object at 0x7040cf4713f0>)
2025-10-18 22:40:18 | DEBUG | aiosqlite | operation functools.partial(<built-in method commit of sqlite3.Connection object at 0x7040cf4713f0>) completed
2025-10-18 22:40:18 | DEBUG | aiosqlite | executing functools.partial(<built-in method rollback of sqlite3.Connection object at 0x7040cf4713f0>)
2025-10-18 22:40:18 | DEBUG | aiosqlite | operation functools.partial(<built-in method rollback of sqlite3.Connection object at 0x7040cf4713f0>) completed
2025-10-18 22:40:18 | INFO | root | ✅ Таблицы созданы / уже существуют
2025-10-18 22:40:18 | INFO | root | ✅ Репозитории инициализированы
2025-10-18 22:40:18 | INFO | aiogram.dispatcher.dispatcher | Start polling.
2025-10-18 22:40:59 | INFO | middlewares.traffic | MSG from d1f0b15c: text='/start'
2025-10-18 22:40:59 | DEBUG | middlewares.auto_delete | Удалено: '/start'
2025-10-18 22:40:59 | DEBUG | aiosqlite | executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x7040cf4713f0>)
2025-10-18 22:40:59 | DEBUG | aiosqlite | operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x7040cf4713f0>) completed
2025-10-18 22:40:59 | DEBUG | aiosqlite | executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x7040cf46ddc0>, 'SELECT users.id AS users_id, users.username AS users_username, users.created_at AS users_created_at \nFROM users \nWHERE users.id = ?', (5068758479,))
2025-10-18 22:40:59 | DEBUG | aiosqlite | operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x7040cf46ddc0>, 'SELECT users.id AS users_id, users.username AS users_username, users.created_at AS users_created_at \nFROM users \nWHERE users.id = ?', (5068758479,)) completed
2025-10-18 22:40:59 | DEBUG | aiosqlite | executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x7040cf46ddc0>)
2025-10-18 22:40:59 | DEBUG | aiosqlite | operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x7040cf46ddc0>) completed
2025-10-18 22:40:59 | DEBUG | aiosqlite | executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x7040cf46ddc0>)
2025-10-18 22:40:59 | DEBUG | aiosqlite | operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x7040cf46ddc0>) completed
2025-10-18 22:40:59 | DEBUG | aiosqlite | executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x7040cf4713f0>)
2025-10-18 22:40:59 | DEBUG | aiosqlite | operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x7040cf4713f0>) completed
2025-10-18 22:40:59 | DEBUG | aiosqlite | executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x7040cf46ddc0>, 'INSERT INTO users (id, username) VALUES (?, ?) RETURNING id, created_at', (5068758479, 'BoogieWoogiePM'))
2025-10-18 22:40:59 | DEBUG | aiosqlite | operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x7040cf46ddc0>, 'INSERT INTO users (id, username) VALUES (?, ?) RETURNING id, created_at', (5068758479, 'BoogieWoogiePM')) completed
2025-10-18 22:40:59 | DEBUG | aiosqlite | executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x7040cf46ddc0>)
2025-10-18 22:40:59 | DEBUG | aiosqlite | operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x7040cf46ddc0>) completed
2025-10-18 22:40:59 | DEBUG | aiosqlite | executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x7040cf46ddc0>)
2025-10-18 22:40:59 | DEBUG | aiosqlite | operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x7040cf46ddc0>) completed
2025-10-18 22:40:59 | DEBUG | aiosqlite | executing functools.partial(<built-in method commit of sqlite3.Connection object at 0x7040cf4713f0>)
2025-10-18 22:40:59 | DEBUG | aiosqlite | operation functools.partial(<built-in method commit of sqlite3.Connection object at 0x7040cf4713f0>) completed
2025-10-18 22:40:59 | DEBUG | aiosqlite | executing functools.partial(<built-in method rollback of sqlite3.Connection object at 0x7040cf4713f0>)
2025-10-18 22:40:59 | DEBUG | aiosqlite | operation functools.partial(<built-in method rollback of sqlite3.Connection object at 0x7040cf4713f0>) completed
2025-10-18 22:40:59 | INFO | root | 👤 Пользователь 5068758479 (@BoogieWoogiePM) начал работу с ботом
2025-10-18 22:41:04 | INFO | middlewares.traffic | MSG from d1f0b15c: text='📦 Архив'
2025-10-18 22:41:04 | DEBUG | middlewares.auto_delete | Удалено: '📦 Архив'
2025-10-18 22:41:04 | DEBUG | aiosqlite | executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x7040cf4713f0>)
2025-10-18 22:41:04 | DEBUG | aiosqlite | operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x7040cf4713f0>) completed
2025-10-18 22:41:04 | DEBUG | aiosqlite | executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x7040cff262c0>, 'SELECT notes.id, notes.user_id, notes.text, notes.description, notes.status, notes.created_at \nFROM notes \nWHERE notes.user_id = ? AND notes.status = ? ORDER BY notes.created_at DESC\n LIMIT ? OFFSET ?', (5068758479, 'active', 10, 0))
2025-10-18 22:41:04 | DEBUG | aiosqlite | operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x7040cff262c0>, 'SELECT notes.id, notes.user_id, notes.text, notes.description, notes.status, notes.created_at \nFROM notes \nWHERE notes.user_id = ? AND notes.status = ? ORDER BY notes.created_at DESC\n LIMIT ? OFFSET ?', (5068758479, 'active', 10, 0)) completed
2025-10-18 22:41:04 | DEBUG | aiosqlite | executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x7040cff262c0>)
2025-10-18 22:41:04 | DEBUG | aiosqlite | operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x7040cff262c0>) completed
2025-10-18 22:41:04 | DEBUG | aiosqlite | executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x7040cff262c0>)
2025-10-18 22:41:04 | DEBUG | aiosqlite | operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x7040cff262c0>) completed
2025-10-18 22:41:04 | DEBUG | aiosqlite | executing functools.partial(<built-in method rollback of sqlite3.Connection object at 0x7040cf4713f0>)
2025-10-18 22:41:04 | DEBUG | aiosqlite | operation functools.partial(<built-in method rollback of sqlite3.Connection object at 0x7040cf4713f0>) completed
2025-10-18 22:41:04 | DEBUG | aiosqlite | executing functools.partial(<built-in method rollback of sqlite3.Connection object at 0x7040cf4713f0>)
2025-10-18 22:41:04 | DEBUG | aiosqlite | operation functools.partial(<built-in method rollback of sqlite3.Connection object at 0x7040cf4713f0>) completed
2025-10-18 22:41:06 | INFO | middlewares.traffic | MSG from d1f0b15c: text='❓ Помощь'
2025-10-18 22:41:06 | DEBUG | middlewares.auto_delete | Удалено: '❓ Помощь'
2025-10-18 22:41:28 | INFO | middlewares.traffic | MSG from d1f0b15c: text='Первая заметка'
2025-10-18 22:41:28 | DEBUG | aiosqlite | executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x7040cf4713f0>)
2025-10-18 22:41:28 | DEBUG | aiosqlite | operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x7040cf4713f0>) completed
2025-10-18 22:41:28 | DEBUG | aiosqlite | executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x7040cf4a3540>, 'SELECT users.id AS users_id, users.username AS users_username, users.created_at AS users_created_at \nFROM users \nWHERE users.id = ?', (5068758479,))
2025-10-18 22:41:28 | DEBUG | aiosqlite | operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x7040cf4a3540>, 'SELECT users.id AS users_id, users.username AS users_username, users.created_at AS users_created_at \nFROM users \nWHERE users.id = ?', (5068758479,)) completed
2025-10-18 22:41:28 | DEBUG | aiosqlite | executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x7040cf4a3540>)
2025-10-18 22:41:28 | DEBUG | aiosqlite | operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x7040cf4a3540>) completed
2025-10-18 22:41:28 | DEBUG | aiosqlite | executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x7040cf4a3540>)
2025-10-18 22:41:28 | DEBUG | aiosqlite | operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x7040cf4a3540>) completed
2025-10-18 22:41:28 | DEBUG | aiosqlite | executing functools.partial(<built-in method rollback of sqlite3.Connection object at 0x7040cf4713f0>)
2025-10-18 22:41:28 | DEBUG | aiosqlite | operation functools.partial(<built-in method rollback of sqlite3.Connection object at 0x7040cf4713f0>) completed
2025-10-18 22:41:28 | DEBUG | aiosqlite | executing functools.partial(<built-in method rollback of sqlite3.Connection object at 0x7040cf4713f0>)
2025-10-18 22:41:28 | DEBUG | aiosqlite | operation functools.partial(<built-in method rollback of sqlite3.Connection object at 0x7040cf4713f0>) completed
2025-10-18 22:41:28 | DEBUG | aiosqlite | executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x7040cf4713f0>)
2025-10-18 22:41:28 | DEBUG | aiosqlite | operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x7040cf4713f0>) completed
2025-10-18 22:41:28 | DEBUG | aiosqlite | executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x7040cf4a1640>, 'INSERT INTO notes (user_id, text, description, status) VALUES (?, ?, ?, ?) RETURNING id, created_at', (5068758479, 'Первая заметка', None, 'active'))
2025-10-18 22:41:28 | DEBUG | aiosqlite | operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x7040cf4a1640>, 'INSERT INTO notes (user_id, text, description, status) VALUES (?, ?, ?, ?) RETURNING id, created_at', (5068758479, 'Первая заметка', None, 'active')) completed
2025-10-18 22:41:28 | DEBUG | aiosqlite | executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x7040cf4a1640>)
2025-10-18 22:41:28 | DEBUG | aiosqlite | operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x7040cf4a1640>) completed
2025-10-18 22:41:28 | DEBUG | aiosqlite | executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x7040cf4a1640>)
2025-10-18 22:41:28 | DEBUG | aiosqlite | operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x7040cf4a1640>) completed
2025-10-18 22:41:28 | DEBUG | aiosqlite | executing functools.partial(<built-in method commit of sqlite3.Connection object at 0x7040cf4713f0>)
2025-10-18 22:41:28 | DEBUG | aiosqlite | operation functools.partial(<built-in method commit of sqlite3.Connection object at 0x7040cf4713f0>) completed
2025-10-18 22:41:28 | DEBUG | aiosqlite | executing functools.partial(<built-in method rollback of sqlite3.Connection object at 0x7040cf4713f0>)
2025-10-18 22:41:28 | DEBUG | aiosqlite | operation functools.partial(<built-in method rollback of sqlite3.Connection object at 0x7040cf4713f0>) completed
2025-10-18 22:41:28 | DEBUG | aiosqlite | executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x7040cf4713f0>)
2025-10-18 22:41:28 | DEBUG | aiosqlite | operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x7040cf4713f0>) completed
2025-10-18 22:41:28 | DEBUG | aiosqlite | executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x7040cf4a3740>, 'SELECT notes.id, notes.user_id, notes.text, notes.description, notes.status, notes.created_at \nFROM notes \nWHERE notes.id = ?', (3,))
2025-10-18 22:41:28 | DEBUG | aiosqlite | operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x7040cf4a3740>, 'SELECT notes.id, notes.user_id, notes.text, notes.description, notes.status, notes.created_at \nFROM notes \nWHERE notes.id = ?', (3,)) completed
2025-10-18 22:41:28 | DEBUG | aiosqlite | executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x7040cf4a3740>)
2025-10-18 22:41:28 | DEBUG | aiosqlite | operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x7040cf4a3740>) completed
2025-10-18 22:41:28 | DEBUG | aiosqlite | executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x7040cf4a3740>)
2025-10-18 22:41:28 | DEBUG | aiosqlite | operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x7040cf4a3740>) completed
2025-10-18 22:41:28 | DEBUG | aiosqlite | executing functools.partial(<built-in method rollback of sqlite3.Connection object at 0x7040cf4713f0>)
2025-10-18 22:41:28 | DEBUG | aiosqlite | operation functools.partial(<built-in method rollback of sqlite3.Connection object at 0x7040cf4713f0>) completed
2025-10-18 22:41:28 | DEBUG | aiosqlite | executing functools.partial(<built-in method rollback of sqlite3.Connection object at 0x7040cf4713f0>)
2025-10-18 22:41:28 | DEBUG | aiosqlite | operation functools.partial(<built-in method rollback of sqlite3.Connection object at 0x7040cf4713f0>) completed
2025-10-18 22:41:28 | INFO | root | 💾 Заметка #3 создана пользователем 5068758479: Первая заметка
2025-10-18 22:41:43 | INFO | middlewares.traffic | MSG from d1f0b15c: text='/start'
2025-10-18 22:41:43 | DEBUG | middlewares.auto_delete | Удалено: '/start'
2025-10-18 22:41:43 | DEBUG | aiosqlite | executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x7040cf4713f0>)
2025-10-18 22:41:43 | DEBUG | aiosqlite | operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x7040cf4713f0>) completed
2025-10-18 22:41:43 | DEBUG | aiosqlite | executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x7040cf4c0740>, 'SELECT users.id AS users_id, users.username AS users_username, users.created_at AS users_created_at \nFROM users \nWHERE users.id = ?', (5068758479,))
2025-10-18 22:41:43 | DEBUG | aiosqlite | operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x7040cf4c0740>, 'SELECT users.id AS users_id, users.username AS users_username, users.created_at AS users_created_at \nFROM users \nWHERE users.id = ?', (5068758479,)) completed
2025-10-18 22:41:43 | DEBUG | aiosqlite | executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x7040cf4c0740>)
2025-10-18 22:41:43 | DEBUG | aiosqlite | operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x7040cf4c0740>) completed
2025-10-18 22:41:43 | DEBUG | aiosqlite | executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x7040cf4c0740>)
2025-10-18 22:41:43 | DEBUG | aiosqlite | operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x7040cf4c0740>) completed
2025-10-18 22:41:43 | DEBUG | aiosqlite | executing functools.partial(<built-in method rollback of sqlite3.Connection object at 0x7040cf4713f0>)
2025-10-18 22:41:43 | DEBUG | aiosqlite | operation functools.partial(<built-in method rollback of sqlite3.Connection object at 0x7040cf4713f0>) completed
2025-10-18 22:41:43 | DEBUG | aiosqlite | executing functools.partial(<built-in method rollback of sqlite3.Connection object at 0x7040cf4713f0>)
2025-10-18 22:41:43 | DEBUG | aiosqlite | operation functools.partial(<built-in method rollback of sqlite3.Connection object at 0x7040cf4713f0>) completed
2025-10-18 22:41:43 | INFO | root | 👤 Пользователь 5068758479 (@BoogieWoogiePM) начал работу с ботом
2025-10-18 22:42:18 | INFO | middlewares.traffic | MSG from d1f0b15c: text='Кнопки на всех страницах бота. Чистка'
2025-10-18 22:42:18 | DEBUG | aiosqlite | executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x7040cf4713f0>)
2025-10-18 22:42:18 | DEBUG | aiosqlite | operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x7040cf4713f0>) completed
2025-10-18 22:42:18 | DEBUG | aiosqlite | executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x7040cf4a1440>, 'SELECT users.id AS users_id, users.username AS users_username, users.created_at AS users_created_at \nFROM users \nWHERE users.id = ?', (5068758479,))
2025-10-18 22:42:18 | DEBUG | aiosqlite | operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x7040cf4a1440>, 'SELECT users.id AS users_id, users.username AS users_username, users.created_at AS users_created_at \nFROM users \nWHERE users.id = ?', (5068758479,)) completed
2025-10-18 22:42:18 | DEBUG | aiosqlite | executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x7040cf4a1440>)
2025-10-18 22:42:18 | DEBUG | aiosqlite | operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x7040cf4a1440>) completed
2025-10-18 22:42:18 | DEBUG | aiosqlite | executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x7040cf4a1440>)
2025-10-18 22:42:18 | DEBUG | aiosqlite | operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x7040cf4a1440>) completed
2025-10-18 22:42:18 | DEBUG | aiosqlite | executing functools.partial(<built-in method rollback of sqlite3.Connection object at 0x7040cf4713f0>)
2025-10-18 22:42:18 | DEBUG | aiosqlite | operation functools.partial(<built-in method rollback of sqlite3.Connection object at 0x7040cf4713f0>) completed
2025-10-18 22:42:18 | DEBUG | aiosqlite | executing functools.partial(<built-in method rollback of sqlite3.Connection object at 0x7040cf4713f0>)
2025-10-18 22:42:18 | DEBUG | aiosqlite | operation functools.partial(<built-in method rollback of sqlite3.Connection object at 0x7040cf4713f0>) completed
2025-10-18 22:42:18 | DEBUG | aiosqlite | executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x7040cf4713f0>)
2025-10-18 22:42:18 | DEBUG | aiosqlite | operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x7040cf4713f0>) completed
2025-10-18 22:42:18 | DEBUG | aiosqlite | executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x7040cf4a1dc0>, 'INSERT INTO notes (user_id, text, description, status) VALUES (?, ?, ?, ?) RETURNING id, created_at', (5068758479, 'Кнопки на всех страницах бота. Чистка', None, 'active'))
2025-10-18 22:42:18 | DEBUG | aiosqlite | operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x7040cf4a1dc0>, 'INSERT INTO notes (user_id, text, description, status) VALUES (?, ?, ?, ?) RETURNING id, created_at', (5068758479, 'Кнопки на всех страницах бота. Чистка', None, 'active')) completed
2025-10-18 22:42:18 | DEBUG | aiosqlite | executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x7040cf4a1dc0>)
2025-10-18 22:42:18 | DEBUG | aiosqlite | operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x7040cf4a1dc0>) completed
2025-10-18 22:42:18 | DEBUG | aiosqlite | executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x7040cf4a1dc0>)
2025-10-18 22:42:18 | DEBUG | aiosqlite | operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x7040cf4a1dc0>) completed
2025-10-18 22:42:18 | DEBUG | aiosqlite | executing functools.partial(<built-in method commit of sqlite3.Connection object at 0x7040cf4713f0>)
2025-10-18 22:42:18 | DEBUG | aiosqlite | operation functools.partial(<built-in method commit of sqlite3.Connection object at 0x7040cf4713f0>) completed
2025-10-18 22:42:18 | DEBUG | aiosqlite | executing functools.partial(<built-in method rollback of sqlite3.Connection object at 0x7040cf4713f0>)
2025-10-18 22:42:18 | DEBUG | aiosqlite | operation functools.partial(<built-in method rollback of sqlite3.Connection object at 0x7040cf4713f0>) completed
2025-10-18 22:42:18 | DEBUG | aiosqlite | executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x7040cf4713f0>)
2025-10-18 22:42:18 | DEBUG | aiosqlite | operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x7040cf4713f0>) completed
2025-10-18 22:42:18 | DEBUG | aiosqlite | executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x7040cf4a27c0>, 'SELECT notes.id, notes.user_id, notes.text, notes.description, notes.status, notes.created_at \nFROM notes \nWHERE notes.id = ?', (4,))
